"player","salary","season_end","season_start","team","team_name"
"Tom Hammonds",1070000,1997,1996,"DEN","Denver Nuggets"
"Keith Jennings",247500,1997,1996,"DEN","Denver Nuggets"
"LaSalle Thompson",247500,1997,1996,"DEN","Denver Nuggets"
"Darvin Ham",220000,1997,1996,"DEN","Denver Nuggets"
"Brooks Thompson",214300,1997,1996,"DEN","Denver Nuggets"
"Aaron Williams",169000,1997,1996,"DEN","Denver Nuggets"
"Bryant Stith",4030000,1998,1997,"DEN","Denver Nuggets"
"Sherman Douglas",4025000,1998,1997,"DEN","Denver Nuggets"
"LaPhonso Ellis",3650000,1998,1997,"DEN","Denver Nuggets"
"Elmore Spencer",2050000,1998,1997,"DEN","Denver Nuggets"
"Tony Battie",1946880,1998,1997,"DEN","Denver Nuggets"
"Dean Garrett",1800000,1998,1997,"DEN","Denver Nuggets"
"Johnny Newman",1325000,1998,1997,"DEN","Denver Nuggets"
"Danny Fortson",1291440,1998,1997,"DEN","Denver Nuggets"
"Eric Williams",1139520,1998,1997,"DEN","Denver Nuggets"
"Tom Hammonds",970000,1998,1997,"DEN","Denver Nuggets"
"George Zidek",784200,1998,1997,"DEN","Denver Nuggets"
"Bobby Jackson",694920,1998,1997,"DEN","Denver Nuggets"
"Priest Lauderdale",630000,1998,1997,"DEN","Denver Nuggets"
"Randy Woods",500000,1998,1997,"DEN","Denver Nuggets"
"Joe Wolf",480000,1998,1997,"DEN","Denver Nuggets"
"Anthony Goldwire",330000,1998,1997,"DEN","Denver Nuggets"
"Steve Scheffler",330000,1998,1997,"DEN","Denver Nuggets"
"Eddie Johnson",300000,1998,1997,"DEN","Denver Nuggets"
"Eric Washington",242000,1998,1997,"DEN","Denver Nuggets"
"Antonio McDyess",9000000,1999,1998,"DEN","Denver Nuggets"
"Bryant Stith",4666000,1999,1998,"DEN","Denver Nuggets"
"Eric Williams",2780000,1999,1998,"DEN","Denver Nuggets"
"Chauncey Billups",2742000,1999,1998,"DEN","Denver Nuggets"
"Raef LaFrentz",2150000,1999,1998,"DEN","Denver Nuggets"
"Nick Van Exel",1900000,1999,1998,"DEN","Denver Nuggets"
"Danny Fortson",1485000,1999,1998,"DEN","Denver Nuggets"
"Johnny Taylor",1037000,1999,1998,"DEN","Denver Nuggets"
"Keon Clark",1000000,1999,1998,"DEN","Denver Nuggets"
"Priest Lauderdale",712200,1999,1998,"DEN","Denver Nuggets"
"Carl Herrera",662500,1999,1998,"DEN","Denver Nuggets"
"Eric Washington",520000,1999,1998,"DEN","Denver Nuggets"
"Loren Meyer",450000,1999,1998,"DEN","Denver Nuggets"
"Kelly McCarty",287500,1999,1998,"DEN","Denver Nuggets"
"Antonio McDyess",9900000,2000,1999,"DEN","Denver Nuggets"
"Nick Van Exel",8354614,2000,1999,"DEN","Denver Nuggets"
"Bryant Stith",5290000,2000,1999,"DEN","Denver Nuggets"
"Chris Gatling",4875200,2000,1999,"DEN","Denver Nuggets"
"Raef LaFrentz",2777160,2000,1999,"DEN","Denver Nuggets"
"Popeye Jones",2531250,2000,1999,"DEN","Denver Nuggets"
"George McCloud",2000000,2000,1999,"DEN","Denver Nuggets"
"Cory Alexander",1980000,2000,1999,"DEN","Denver Nuggets"
"Tariq Abdul-Wahad",1594920,2000,1999,"DEN","Denver Nuggets"
"Keon Clark",1289400,2000,1999,"DEN","Denver Nuggets"
"James Posey",974520,2000,1999,"DEN","Denver Nuggets"
"Dwayne Schintzius",550000,2000,1999,"DEN","Denver Nuggets"
"Roy Rogers",485000,2000,1999,"DEN","Denver Nuggets"
"Ryan Bowen",301875,2000,1999,"DEN","Denver Nuggets"
"Chris Herren",301875,2000,1999,"DEN","Denver Nuggets"
"Antonio McDyess",10800000,2001,2000,"DEN","Denver Nuggets"
"Nick Van Exel",9200000,2001,2000,"DEN","Denver Nuggets"
"Tariq Abdul-Wahad",4500000,2001,2000,"DEN","Denver Nuggets"
"Robert Pack",4320000,2001,2000,"DEN","Denver Nuggets"
"Voshon Lenard",3780000,2001,2000,"DEN","Denver Nuggets"
"Tracy Murray",3060000,2001,2000,"DEN","Denver Nuggets"
"Raef LaFrentz",2970840,2001,2000,"DEN","Denver Nuggets"
"Mark Strickland",2400000,2001,2000,"DEN","Denver Nuggets"
"George McCloud",2200000,2001,2000,"DEN","Denver Nuggets"
"Calbert Cheaney",2200000,2001,2000,"DEN","Denver Nuggets"
"Cory Alexander",2160000,2001,2000,"DEN","Denver Nuggets"
"Keon Clark",1379400,2001,2000,"DEN","Denver Nuggets"
"James Posey",1047600,2001,2000,"DEN","Denver Nuggets"
"Terry Davis",923500,2001,2000,"DEN","Denver Nuggets"
"Mamadou N\'Diaye",737880,2001,2000,"DEN","Denver Nuggets"
"Ryan Bowen",510000,2001,2000,"DEN","Denver Nuggets"
"Antonio McDyess",11700000,2002,2001,"DEN","Denver Nuggets"
"Nick Van Exel",10164642,2002,2001,"DEN","Denver Nuggets"
"Tariq Abdul-Wahad",5062500,2002,2001,"DEN","Denver Nuggets"
"Scott Williams",4650000,2002,2001,"DEN","Denver Nuggets"
"Avery Johnson",4538000,2002,2001,"DEN","Denver Nuggets"
"Voshon Lenard",4252435,2002,2001,"DEN","Denver Nuggets"
"Raef LaFrentz",3755142,2002,2001,"DEN","Denver Nuggets"
"George McCloud",2400000,2002,2001,"DEN","Denver Nuggets"
"Calbert Cheaney",2400000,2002,2001,"DEN","Denver Nuggets"
"Cory Alexander",1995741,2002,2001,"DEN","Denver Nuggets"
"James Posey",1120680,2002,2001,"DEN","Denver Nuggets"
"Ryan Bowen",630850,2002,2001,"DEN","Denver Nuggets"
"Shawnelle Scott",590850,2002,2001,"DEN","Denver Nuggets"
"Zendon Hamilton",465850,2002,2001,"DEN","Denver Nuggets"
"Kenny Satterfield",332817,2002,2001,"DEN","Denver Nuggets"
"Chris Andersen",288171,2002,2001,"DEN","Denver Nuggets"
"Isaiah Rider",112797,2002,2001,"DEN","Denver Nuggets"
"Juwan Howard",20625000,2003,2002,"DEN","Denver Nuggets"
"Marcus Camby",6750000,2003,2002,"DEN","Denver Nuggets"
"Mark Jackson",3500000,2003,2002,"DEN","Denver Nuggets"
"Chris Whitney",3000000,2003,2002,"DEN","Denver Nuggets"
"Nikoloz Tskitishvili",2530920,2003,2002,"DEN","Denver Nuggets"
"Cory Alexander",2149259,2003,2002,"DEN","Denver Nuggets"
"Nene",1945520,2003,2002,"DEN","Denver Nuggets"
"Rodney White",1820520,2003,2002,"DEN","Denver Nuggets"
"Ryan Bowen",1111111,2003,2002,"DEN","Denver Nuggets"
"Mark Bryant",1030000,2003,2002,"DEN","Denver Nuggets"
"Tim Hardaway",1000000,2003,2002,"DEN","Denver Nuggets"
"Donnell Harvey",992040,2003,2002,"DEN","Denver Nuggets"
"Mark Blount",762435,2003,2002,"DEN","Denver Nuggets"
"Chris Andersen",512435,2003,2002,"DEN","Denver Nuggets"
"Junior Harrington",349458,2003,2002,"DEN","Denver Nuggets"
"Predrag Savovic",349458,2003,2002,"DEN","Denver Nuggets"
"Vincent Yarbrough",349458,2003,2002,"DEN","Denver Nuggets"
"Art Long",193424,2003,2002,"DEN","Denver Nuggets"
"John Crotty",138171,2003,2002,"DEN","Denver Nuggets"
"Andre Miller",8000000,2004,2003,"DEN","Denver Nuggets"
"Marcus Camby",7250000,2004,2003,"DEN","Denver Nuggets"
"Carmelo Anthony",3229200,2004,2003,"DEN","Denver Nuggets"
"Jon Barry",3000000,2004,2003,"DEN","Denver Nuggets"
"Nikoloz Tskitishvili",2720760,2004,2003,"DEN","Denver Nuggets"
"Earl Boykins",2500000,2004,2003,"DEN","Denver Nuggets"
"Cory Alexander",2302778,2004,2003,"DEN","Denver Nuggets"
"Nene",2102840,2004,2003,"DEN","Denver Nuggets"
"Rodney White",1947600,2004,2003,"DEN","Denver Nuggets"
"Mark Jackson",1500000,2004,2003,"DEN","Denver Nuggets"
"Ryan Bowen",1250000,2004,2003,"DEN","Denver Nuggets"
"Voshon Lenard",1200000,2004,2003,"DEN","Denver Nuggets"
"Mark Pope",751179,2004,2003,"DEN","Denver Nuggets"
"Chris Andersen",638679,2004,2003,"DEN","Denver Nuggets"
"Jeff Trepagnier",638679,2004,2003,"DEN","Denver Nuggets"
"Francisco Elson",366931,2004,2003,"DEN","Denver Nuggets"
"Kenyon Martin",10636364,2006,2005,"DEN","Denver Nuggets"
"Marcus Camby",9150000,2006,2005,"DEN","Denver Nuggets"
"Andre Miller",8100000,2006,2005,"DEN","Denver Nuggets"
"Earl Watson",5000000,2006,2005,"DEN","Denver Nuggets"
"Eduardo Najera",4190476,2006,2005,"DEN","Denver Nuggets"
"Carmelo Anthony",3713640,2006,2005,"DEN","Denver Nuggets"
"Voshon Lenard",3520000,2006,2005,"DEN","Denver Nuggets"
"Nene",3039889,2006,2005,"DEN","Denver Nuggets"
"Earl Boykins",2750000,2006,2005,"DEN","Denver Nuggets"
"Greg Buckner",1670000,2006,2005,"DEN","Denver Nuggets"
"Julius Hodge",1148760,2006,2005,"DEN","Denver Nuggets"
"Bryon Russell",1138500,2006,2005,"DEN","Denver Nuggets"
"Linas Kleiza",879360,2006,2005,"DEN","Denver Nuggets"
"DerMarr Johnson",835810,2006,2005,"DEN","Denver Nuggets"
"Francisco Elson",719373,2006,2005,"DEN","Denver Nuggets"
"Allen Iverson",19012500,2008,2007,"DEN","Denver Nuggets"
"Kenyon Martin",13250000,2008,2007,"DEN","Denver Nuggets"
"Carmelo Anthony",13041250,2008,2007,"DEN","Denver Nuggets"
"Marcus Camby",11250000,2008,2007,"DEN","Denver Nuggets"
"Nene",8840000,2008,2007,"DEN","Denver Nuggets"
"Eduardo Najera",4952380,2008,2007,"DEN","Denver Nuggets"
"Steven Hunter",3248000,2008,2007,"DEN","Denver Nuggets"
"Chucky Atkins",3000000,2008,2007,"DEN","Denver Nuggets"
"J.R. Smith",2134067,2008,2007,"DEN","Denver Nuggets"
"Anthony Carter",1103225,2008,2007,"DEN","Denver Nuggets"
"Linas Kleiza",1011360,2008,2007,"DEN","Denver Nuggets"
"Yakhouba Diawara",687456,2008,2007,"DEN","Denver Nuggets"
"Bobby Jones",687456,2008,2007,"DEN","Denver Nuggets"
"Taurean Green",427163,2008,2007,"DEN","Denver Nuggets"
"Mike Wilks",162281,2008,2007,"DEN","Denver Nuggets"
"Jelani McCoy",151089,2008,2007,"DEN","Denver Nuggets"
"Kenyon Martin",14431816,2009,2008,"DEN","Denver Nuggets"
"Carmelo Anthony",14410581,2009,2008,"DEN","Denver Nuggets"
"Chauncey Billups",11050000,2009,2008,"DEN","Denver Nuggets"
"Nene",9680000,2009,2008,"DEN","Denver Nuggets"
"J.R. Smith",4985001,2009,2008,"DEN","Denver Nuggets"
"Steven Hunter",3862600,2009,2008,"DEN","Denver Nuggets"
"Antonio McDyess",3000000,2009,2008,"DEN","Denver Nuggets"
"Johan Petro",1939893,2009,2008,"DEN","Denver Nuggets"
"Linas Kleiza",1824493,2009,2008,"DEN","Denver Nuggets"
"Renaldo Balkman",1369920,2009,2008,"DEN","Denver Nuggets"
"Anthony Carter",1147533,2009,2008,"DEN","Denver Nuggets"
"Chris Andersen",998398,2009,2008,"DEN","Denver Nuggets"
"Dahntay Jones",926678,2009,2008,"DEN","Denver Nuggets"
"Sonny Weems",442114,2009,2008,"DEN","Denver Nuggets"
"Juwan Howard",51976,2009,2008,"DEN","Denver Nuggets"
"Carmelo Anthony",15779912,2010,2009,"DEN","Denver Nuggets"
"Kenyon Martin",15363636,2010,2009,"DEN","Denver Nuggets"
"Chauncey Billups",12100000,2010,2009,"DEN","Denver Nuggets"
"Nene",10520000,2010,2009,"DEN","Denver Nuggets"
"J.R. Smith",5508426,2010,2009,"DEN","Denver Nuggets"
"Chris Andersen",3650000,2010,2009,"DEN","Denver Nuggets"
"Antonio McDyess",3000000,2010,2009,"DEN","Denver Nuggets"
"Renaldo Balkman",2112417,2010,2009,"DEN","Denver Nuggets"
"Ty Lawson",1438690,2010,2009,"DEN","Denver Nuggets"
"Anthony Carter",1306455,2010,2009,"DEN","Denver Nuggets"
"Malik Allen",1300000,2010,2009,"DEN","Denver Nuggets"
"Arron Afflalo",1086240,2010,2009,"DEN","Denver Nuggets"
"Joey Graham",884881,2010,2009,"DEN","Denver Nuggets"
"Johan Petro",884881,2010,2009,"DEN","Denver Nuggets"
"Kenyon Martin",16545454,2011,2010,"DEN","Denver Nuggets"
"Nene",11360000,2011,2010,"DEN","Denver Nuggets"
"Raymond Felton",7500000,2011,2010,"DEN","Denver Nuggets"
"J.R. Smith",6757851,2011,2010,"DEN","Denver Nuggets"
"Al Harrington",5765000,2011,2010,"DEN","Denver Nuggets"
"Chris Andersen",4533300,2011,2010,"DEN","Denver Nuggets"
"Timofey Mozgov",3567096,2011,2010,"DEN","Denver Nuggets"
"Danilo Gallinari",3304560,2011,2010,"DEN","Denver Nuggets"
"Wilson Chandler",2130482,2011,2010,"DEN","Denver Nuggets"
"Arron Afflalo",1959577,2011,2010,"DEN","Denver Nuggets"
"Ty Lawson",1546560,2011,2010,"DEN","Denver Nuggets"
"Kosta Koufos",1352640,2011,2010,"DEN","Denver Nuggets"
"Melvin Ely",1223166,2011,2010,"DEN","Denver Nuggets"
"Gary Forbes",473604,2011,2010,"DEN","Denver Nuggets"
"Nene",13000000,2012,2011,"DEN","Denver Nuggets"
"Andre Miller",7807728,2012,2011,"DEN","Denver Nuggets"
"Arron Afflalo",7562500,2012,2011,"DEN","Denver Nuggets"
"Al Harrington",6226200,2012,2011,"DEN","Denver Nuggets"
"Chris Andersen",4234000,2012,2011,"DEN","Denver Nuggets"
"Danilo Gallinari",4190182,2012,2011,"DEN","Denver Nuggets"
"Timofey Mozgov",3343896,2012,2011,"DEN","Denver Nuggets"
"Corey Brewer",3059000,2012,2011,"DEN","Denver Nuggets"
"Kosta Koufos",2203792,2012,2011,"DEN","Denver Nuggets"
"Rudy Fernandez",2180443,2012,2011,"DEN","Denver Nuggets"
"Ty Lawson",1654440,2012,2011,"DEN","Denver Nuggets"
"Kenneth Faried",1254720,2012,2011,"DEN","Denver Nuggets"
"Jordan Hamilton",1073286,2012,2011,"DEN","Denver Nuggets"
"Julyan Stone",473604,2012,2011,"DEN","Denver Nuggets"
"DeMarre Carroll",289382,2012,2011,"DEN","Denver Nuggets"
"Andre Iguodala",14968250,2013,2012,"DEN","Denver Nuggets"
"JaVale McGee",10000000,2013,2012,"DEN","Denver Nuggets"
"Danilo Gallinari",9439000,2013,2012,"DEN","Denver Nuggets"
"Wilson Chandler",5930414,2013,2012,"DEN","Denver Nuggets"
"Andre Miller",5000000,2013,2012,"DEN","Denver Nuggets"
"Chris Andersen",4526000,2013,2012,"DEN","Denver Nuggets"
"Corey Brewer",3243000,2013,2012,"DEN","Denver Nuggets"
"Timofey Mozgov",3140429,2013,2012,"DEN","Denver Nuggets"
"Kosta Koufos",3000000,2013,2012,"DEN","Denver Nuggets"
"Ty Lawson",2544529,2013,2012,"DEN","Denver Nuggets"
"Anthony Randolph",1674641,2013,2012,"DEN","Denver Nuggets"
"Evan Fournier",1361400,2013,2012,"DEN","Denver Nuggets"
"Kenneth Faried",1348800,2013,2012,"DEN","Denver Nuggets"
"Jordan Hamilton",1153800,2013,2012,"DEN","Denver Nuggets"
"Julyan Stone",762195,2013,2012,"DEN","Denver Nuggets"
"Quincy Miller",473604,2013,2012,"DEN","Denver Nuggets"
"Ty Lawson",10786517,2014,2013,"DEN","Denver Nuggets"
"JaVale McGee",10750000,2014,2013,"DEN","Denver Nuggets"
"Danilo Gallinari",10146925,2014,2013,"DEN","Denver Nuggets"
"Wilson Chandler",6344164,2014,2013,"DEN","Denver Nuggets"
"J.J. Hickson",5150000,2014,2013,"DEN","Denver Nuggets"
"Andre Miller",5000000,2014,2013,"DEN","Denver Nuggets"
"Timofey Mozgov",4400000,2014,2013,"DEN","Denver Nuggets"
"Darrell Arthur",3231683,2014,2013,"DEN","Denver Nuggets"
"Randy Foye",3000000,2014,2013,"DEN","Denver Nuggets"
"Nate Robinson",2016000,2014,2013,"DEN","Denver Nuggets"
"Anthony Randolph",1750000,2014,2013,"DEN","Denver Nuggets"
"Evan Fournier",1422720,2014,2013,"DEN","Denver Nuggets"
"Kenneth Faried",1367640,2014,2013,"DEN","Denver Nuggets"
"Jordan Hamilton",1169880,2014,2013,"DEN","Denver Nuggets"
"Quincy Miller",788872,2014,2013,"DEN","Denver Nuggets"
"Ty Lawson",11595506,2015,2014,"DEN","Denver Nuggets"
"Danilo Gallinari",10854850,2015,2014,"DEN","Denver Nuggets"
"Wilson Chandler",6757913,2015,2014,"DEN","Denver Nuggets"
"J.J. Hickson",5381750,2015,2014,"DEN","Denver Nuggets"
"Darrell Arthur",3457149,2015,2014,"DEN","Denver Nuggets"
"Randy Foye",3135000,2015,2014,"DEN","Denver Nuggets"
"Jameer Nelson",2732000,2015,2014,"DEN","Denver Nuggets"
"Kenneth Faried",2249768,2015,2014,"DEN","Denver Nuggets"
"Joffrey Lauvergne",1790280,2015,2014,"DEN","Denver Nuggets"
"Jusuf Nurkic",1762680,2015,2014,"DEN","Denver Nuggets"
"Gary Harris",1519200,2015,2014,"DEN","Denver Nuggets"
"Victor Claver",1370000,2015,2014,"DEN","Denver Nuggets"
"Shavlik Randolph",1227985,2015,2014,"DEN","Denver Nuggets"
"Will Barton",915243,2015,2014,"DEN","Denver Nuggets"
"Ian Clark",816482,2015,2014,"DEN","Denver Nuggets"
"Erick Green",507336,2015,2014,"DEN","Denver Nuggets"
"Quincy Miller",150000,2015,2014,"DEN","Denver Nuggets"
"Jerrelle Benimon",35000,2015,2014,"DEN","Denver Nuggets"
"Jamaal Franklin",19914,2015,2014,"DEN","Denver Nuggets"
"Danilo Gallinari",14000000,2016,2015,"DEN","Denver Nuggets"
"Kenneth Faried",11235955,2016,2015,"DEN","Denver Nuggets"
"Wilson Chandler",10500000,2016,2015,"DEN","Denver Nuggets"
"J.J. Hickson",5613500,2016,2015,"DEN","Denver Nuggets"
"Jameer Nelson",4500000,2016,2015,"DEN","Denver Nuggets"
"Steve Novak",3750000,2016,2015,"DEN","Denver Nuggets"
"Will Barton",3333333,2016,2015,"DEN","Denver Nuggets"
"Emmanuel Mudiay",3102240,2016,2015,"DEN","Denver Nuggets"
"D.J. Augustin",3000000,2016,2015,"DEN","Denver Nuggets"
"Darrell Arthur",2814000,2016,2015,"DEN","Denver Nuggets"
"Jusuf Nurkic",1842000,2016,2015,"DEN","Denver Nuggets"
"Joffrey Lauvergne",1709720,2016,2015,"DEN","Denver Nuggets"
"Gary Harris",1587480,2016,2015,"DEN","Denver Nuggets"
"Mike Miller",1499187,2016,2015,"DEN","Denver Nuggets"
"Nikola Jokic",1300000,2016,2015,"DEN","Denver Nuggets"
"Joey Dorsey",1015421,2016,2015,"DEN","Denver Nuggets"
"Nick Johnson",845059,2016,2015,"DEN","Denver Nuggets"
"Kostas Papanikolaou",350000,2016,2015,"DEN","Denver Nuggets"
"JaKarr Sampson",285489,2016,2015,"DEN","Denver Nuggets"
"Axel Toupane",123552,2016,2015,"DEN","Denver Nuggets"
"Erick Green",100000,2016,2015,"DEN","Denver Nuggets"
"Sean Kilpatrick",99418,2016,2015,"DEN","Denver Nuggets"
"Danilo Gallinari",15050000,2017,2016,"DEN","Denver Nuggets"
"Kenneth Faried",12078652,2017,2016,"DEN","Denver Nuggets"
"Wilson Chandler",11200000,2017,2016,"DEN","Denver Nuggets"
"Darrell Arthur",8070175,2017,2016,"DEN","Denver Nuggets"
"Roy Hibbert",5000000,2017,2016,"DEN","Denver Nuggets"
"Jameer Nelson",4540525,2017,2016,"DEN","Denver Nuggets"
"Will Barton",3533333,2017,2016,"DEN","Denver Nuggets"
"Mike Miller",3500000,2017,2016,"DEN","Denver Nuggets"
"Emmanuel Mudiay",3241800,2017,2016,"DEN","Denver Nuggets"
"Jamal Murray",3210840,2017,2016,"DEN","Denver Nuggets"
"Mason Plumlee",2328530,2017,2016,"DEN","Denver Nuggets"
"Mo Williams",2200000,2017,2016,"DEN","Denver Nuggets"
"Juan Hernangomez",1987440,2017,2016,"DEN","Denver Nuggets"
"Gary Harris",1655880,2017,2016,"DEN","Denver Nuggets"
"Malik Beasley",1627320,2017,2016,"DEN","Denver Nuggets"
"Nikola Jokic",1358500,2017,2016,"DEN","Denver Nuggets"
"Nick Johnson",980431,2017,2016,"DEN","Denver Nuggets"
"Alonzo Gee",495227,2017,2016,"DEN","Denver Nuggets"
"Robbie Hummel",150000,2017,2016,"DEN","Denver Nuggets"
"Jarnell Stokes",150000,2017,2016,"DEN","Denver Nuggets"
"Johnny O\'Bryant",115344,2017,2016,"DEN","Denver Nuggets"
"D.J. Kennedy",50000,2017,2016,"DEN","Denver Nuggets"
"Nate Wolters",50000,2017,2016,"DEN","Denver Nuggets"
"Paul Millsap",31269231,2018,2017,"DEN","Denver Nuggets"
"Mason Plumlee",14041096,2018,2017,"DEN","Denver Nuggets"
"Kenneth Faried",12921348,2018,2017,"DEN","Denver Nuggets"
"Wilson Chandler",12016854,2018,2017,"DEN","Denver Nuggets"
"Darrell Arthur",7464912,2018,2017,"DEN","Denver Nuggets"
"Jameer Nelson",4736050,2018,2017,"DEN","Denver Nuggets"
"Will Barton",3533333,2018,2017,"DEN","Denver Nuggets"
"Emmanuel Mudiay",3381480,2018,2017,"DEN","Denver Nuggets"
"Jamal Murray",3355320,2018,2017,"DEN","Denver Nuggets"
"Gary Harris",2550055,2018,2017,"DEN","Denver Nuggets"
"Trey Lyles",2441400,2018,2017,"DEN","Denver Nuggets"
"Richard Jefferson",2328652,2018,2017,"DEN","Denver Nuggets"
"Juan Hernangomez",2076840,2018,2017,"DEN","Denver Nuggets"
"Malik Beasley",1700640,2018,2017,"DEN","Denver Nuggets"
"Tyler Lydon",1579440,2018,2017,"DEN","Denver Nuggets"
"Nikola Jokic",1471382,2018,2017,"DEN","Denver Nuggets"
"Isiah Thomas",2720000,1991,1990,"DET","Detroit Pistons"
"Bill Laimbeer",1510000,1991,1990,"DET","Detroit Pistons"
"Vinnie Johnson",1400000,1991,1990,"DET","Detroit Pistons"
"Mark Aguirre",1115000,1991,1990,"DET","Detroit Pistons"
"Joe Dumars",1035000,1991,1990,"DET","Detroit Pistons"
"James Edwards",935000,1991,1990,"DET","Detroit Pistons"
"Dennis Rodman",880000,1991,1990,"DET","Detroit Pistons"
"William Bedford",850000,1991,1990,"DET","Detroit Pistons"
"Tree Rollins",800000,1991,1990,"DET","Detroit Pistons"
"John Salley",575000,1991,1990,"DET","Detroit Pistons"
"Scott Hastings",450000,1991,1990,"DET","Detroit Pistons"
"Lance Blanks",365000,1991,1990,"DET","Detroit Pistons"
"John Long",150000,1991,1990,"DET","Detroit Pistons"
"Gerald Henderson",125000,1991,1990,"DET","Detroit Pistons"
"Dennis Rodman",2350000,1993,1992,"DET","Detroit Pistons"
"Isiah Thomas",2272000,1993,1992,"DET","Detroit Pistons"
"Mark Aguirre",1351000,1993,1992,"DET","Detroit Pistons"
"Joe Dumars",1339000,1993,1992,"DET","Detroit Pistons"
"Terry Mills",1337000,1993,1992,"DET","Detroit Pistons"
"Bill Laimbeer",1319000,1993,1992,"DET","Detroit Pistons"
"Orlando Woolridge",1108000,1993,1992,"DET","Detroit Pistons"
"Gerald Glass",903000,1993,1992,"DET","Detroit Pistons"
"Olden Polynice",850000,1993,1992,"DET","Detroit Pistons"
"Darrell Walker",735000,1993,1992,"DET","Detroit Pistons"
"Mark Randall",250000,1993,1992,"DET","Detroit Pistons"
"Isaiah Morris",140000,1993,1992,"DET","Detroit Pistons"
"Isiah Thomas",2520000,1994,1993,"DET","Detroit Pistons"
"Sean Elliott",1807000,1994,1993,"DET","Detroit Pistons"
"Terry Mills",1614000,1994,1993,"DET","Detroit Pistons"
"Mark Macon",1498000,1994,1993,"DET","Detroit Pistons"
"Mark Aguirre",1471000,1994,1993,"DET","Detroit Pistons"
"Bill Laimbeer",1300000,1994,1993,"DET","Detroit Pistons"
"Joe Dumars",1280000,1994,1993,"DET","Detroit Pistons"
"Lindsey Hunter",902000,1994,1993,"DET","Detroit Pistons"
"Olden Polynice",850000,1994,1993,"DET","Detroit Pistons"
"Allan Houston",736000,1994,1993,"DET","Detroit Pistons"
"Greg Anderson",650000,1994,1993,"DET","Detroit Pistons"
"Marcus Liberty",650000,1994,1993,"DET","Detroit Pistons"
"David Wood",488000,1994,1993,"DET","Detroit Pistons"
"Tracy Moore",40000,1994,1993,"DET","Detroit Pistons"
"Tod Murphy",20000,1994,1993,"DET","Detroit Pistons"
"Grant Hill",2750000,1995,1994,"DET","Detroit Pistons"
"Terry Mills",1897000,1995,1994,"DET","Detroit Pistons"
"Mark Macon",1767000,1995,1994,"DET","Detroit Pistons"
"Oliver Miller",1540000,1995,1994,"DET","Detroit Pistons"
"Mark West",1500000,1995,1994,"DET","Detroit Pistons"
"Lindsey Hunter",1173000,1995,1994,"DET","Detroit Pistons"
"Joe Dumars",1096700,1995,1994,"DET","Detroit Pistons"
"Allan Houston",956000,1995,1994,"DET","Detroit Pistons"
"Bill Curley",702000,1995,1994,"DET","Detroit Pistons"
"Greg Anderson",400000,1995,1994,"DET","Detroit Pistons"
"Eric Leckner",350000,1995,1994,"DET","Detroit Pistons"
"Rafael Addison",250000,1995,1994,"DET","Detroit Pistons"
"Johnny Dawkins",150000,1995,1994,"DET","Detroit Pistons"
"Ivano Newbill",150000,1995,1994,"DET","Detroit Pistons"
"Walter Bond",117000,1995,1994,"DET","Detroit Pistons"
"Otis Thorpe",7000000,1997,1996,"DET","Detroit Pistons"
"Grant Hill",5025000,1997,1996,"DET","Detroit Pistons"
"Joe Dumars",3075000,1997,1996,"DET","Detroit Pistons"
"Stacey Augmon",2480000,1997,1996,"DET","Detroit Pistons"
"Terry Mills",2457000,1997,1996,"DET","Detroit Pistons"
"Grant Long",2260000,1997,1996,"DET","Detroit Pistons"
"Lindsey Hunter",1715000,1997,1996,"DET","Detroit Pistons"
"Theo Ratliff",821000,1997,1996,"DET","Detroit Pistons"
"Jerome Williams",568000,1997,1996,"DET","Detroit Pistons"
"Michael Curry",400000,1997,1996,"DET","Detroit Pistons"
"Rick Mahorn",400000,1997,1996,"DET","Detroit Pistons"
"Don Reid",400000,1997,1996,"DET","Detroit Pistons"
"Litterial Green",247500,1997,1996,"DET","Detroit Pistons"
"Grant Hill",5850000,1998,1997,"DET","Detroit Pistons"
"Bison Dele",4050000,1998,1997,"DET","Detroit Pistons"
"Joe Dumars",3000000,1998,1997,"DET","Detroit Pistons"
"Grant Long",2610335,1998,1997,"DET","Detroit Pistons"
"Lindsey Hunter",1750000,1998,1997,"DET","Detroit Pistons"
"Aaron McKie",1235000,1998,1997,"DET","Detroit Pistons"
"Malik Sealy",1150000,1998,1997,"DET","Detroit Pistons"
"Don Reid",1000000,1998,1997,"DET","Detroit Pistons"
"Theo Ratliff",928080,1998,1997,"DET","Detroit Pistons"
"Scot Pollard",818160,1998,1997,"DET","Detroit Pistons"
"Randolph Childress",760000,1998,1997,"DET","Detroit Pistons"
"Jerome Williams",652800,1998,1997,"DET","Detroit Pistons"
"Rick Mahorn",480000,1998,1997,"DET","Detroit Pistons"
"Charles O\'Bannon",320000,1998,1997,"DET","Detroit Pistons"
"Rumeal Robinson",272250,1998,1997,"DET","Detroit Pistons"
"Grant Hill",6675000,1999,1998,"DET","Detroit Pistons"
"Christian Laettner",5360000,1999,1998,"DET","Detroit Pistons"
"Bison Dele",4860000,1999,1998,"DET","Detroit Pistons"
"Jerry Stackhouse",3887000,1999,1998,"DET","Detroit Pistons"
"Loy Vaught",3830000,1999,1998,"DET","Detroit Pistons"
"Lindsey Hunter",2050000,1999,1998,"DET","Detroit Pistons"
